08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 23.55.106.81.,35746, 80

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 23.55.106.81., 10.0.2.10.,80, 35746

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 192.168.62.29.,54137, 53

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 192.168.62.29.,54137, 53

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 192.168.62.29., 10.0.2.10.,53, 54137

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 192.168.62.29., 10.0.2.10.,53, 54137

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 190.2.131.148.,55238, 80

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 190.2.131.148.,55248, 80

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 190.2.131.148.,55238, 80

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 190.2.131.148.,55248, 80

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 190.2.131.148.,55238, 80

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 190.2.131.148.,55248, 80

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 190.2.131.148.,55238, 80

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 190.2.131.148.,55248, 80

