08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 117.18.232.200.,33086, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 117.18.232.200., 10.0.2.10.,443, 33086

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 190.2.131.148.,59352, 80

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 190.2.131.148.,59360, 80

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 190.2.131.148.,59352, 80

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 190.2.131.148.,59360, 80

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 190.2.131.148.,59352, 80

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 190.2.131.148.,59360, 80

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 190.2.131.148.,59352, 80

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 190.2.131.148.,59360, 80

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 117.18.232.200.,33100, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 117.18.232.200., 10.0.2.10.,443, 33100

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 190.2.131.148.,59352, 80

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 190.2.131.148.,59360, 80

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 190.2.131.148.,59352, 80

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 190.2.131.148.,59360, 80

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 190.2.131.148.,59352, 80

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 190.2.131.148.,59360, 80

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 190.2.131.148.,56130, 80

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 190.2.131.148.,56130, 80

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 190.2.131.148.,56144, 80

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 190.2.131.148.,56130, 80

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 190.2.131.148.,59352, 80

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 190.2.131.148.,56144, 80

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 190.2.131.148.,59360, 80

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 190.2.131.148.,56130, 80

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 190.2.131.148.,56144, 80

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 192.168.62.29.,49964, 53

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 192.168.62.29.,49964, 53

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 192.168.62.29., 10.0.2.10.,53, 49964

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 192.168.62.29., 10.0.2.10.,53, 49964

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55468, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.132.,55484, 443

